name,gender,births
Tamera,F,13895
Tammi,F,13884
Carlene,F,13870
Presley,F,13835
Kiersten,F,13813
Magdalena,F,13802
Alessandra,F,13787
Juana,F,13759
Leeann,F,13759
Marci,F,13736
Ilene,F,13692
Paisley,F,13692
Ayanna,F,13690
Lourdes,F,13680
Macie,F,13678
Clarice,F,13671
Tamra,F,13667
Sage,F,13618
Jayme,F,13580
Renae,F,13575
Rylie,F,13564
Sheree,F,13538
Chelsie,F,13484
Anya,F,13468
Kris,F,13419
Ximena,F,13407
Lenore,F,13404
Hailee,F,13403
Rhiannon,F,13394
Danica,F,13382
Nettie,F,13375
Lupe,F,13364
Ayla,F,13354
Mila,F,13326
Elva,F,13311
Cathryn,F,13294
Itzel,F,13273
Deena,F,13168
Ora,F,13161
Libby,F,13126
May,F,13121
Nyla,F,13115
Lavonne,F,13112
Essie,F,13108
Anahi,F,13091
Elisha,F,13071
Justice,F,13011
Kaila,F,13007
Jaden,F,13005
Lesly,F,12997
Teagan,F,12968
Haleigh,F,12947
Krystle,F,12926
Georgina,F,12876
Bridgett,F,12862
Bernadine,F,12853
Roslyn,F,12853
Kathrine,F,12831
Millie,F,12813
Reyna,F,12808
Maryanne,F,12800
Charlie,F,12799
Ollie,F,12786
Catalina,F,12784
Lakeisha,F,12781
Noel,F,12778
Jena,F,12776
Nola,F,12768
Carmela,F,12759
Adrianne,F,12751
Celina,F,12738
Tameka,F,12724
Carlie,F,12714
Raegan,F,12712
Kourtney,F,12619
Fernanda,F,12573
Kaye,F,12565
Liana,F,12564
Cari,F,12449
Bria,F,12436
Rocio,F,12429
Mitzi,F,12414
Madisyn,F,12406
Carey,F,12397
Iva,F,12391
Maricela,F,12370
Tess,F,12359
Earnestine,F,12354
Madilyn,F,12344
Lakisha,F,12301
Marianna,F,12301
Jewell,F,12280
Benita,F,12268
Trista,F,12251
Diann,F,12229
Halle,F,12222
Kaelyn,F,12214
Lilian,F,12211
Kaley,F,12202
Desirae,F,12174
Estrella,F,12167
Caryn,F,12142
Consuelo,F,12134
Yadira,F,12092
Maci,F,12085
Joelle,F,12052
