name,gender,births
Daren,M,10327
Rigoberto,M,10322
Kieran,M,10304
Scottie,M,10271
Jaron,M,10259
Roscoe,M,10254
Davion,M,10249
Jamel,M,10242
Triston,M,10232
Robby,M,10224
Dusty,M,10209
Russel,M,10198
Gunner,M,10188
Emory,M,10183
Gino,M,10168
Shayne,M,10142
Cornell,M,10127
Frederic,M,10111
Thurman,M,10093
Shelton,M,10082
Alden,M,9999
Gus,M,9987
Elisha,M,9969
Cristopher,M,9968
Mikel,M,9959
Brantley,M,9937
Sanford,M,9874
Porter,M,9861
Harris,M,9841
Trace,M,9817
Deven,M,9811
Mary,M,9809
Nathanial,M,9777
Barney,M,9748
Elwood,M,9658
Michel,M,9646
Layne,M,9641
Armand,M,9640
Truman,M,9579
Randell,M,9578
Kennith,M,9553
Lanny,M,9523
Theron,M,9515
Jaquan,M,9511
Augustus,M,9492
Charley,M,9468
Kenton,M,9448
Kolton,M,9434
Octavio,M,9417
Marquise,M,9389
Kolby,M,9388
Linwood,M,9385
River,M,9377
Merlin,M,9366
Vito,M,9347
Kane,M,9306
Bruno,M,9293
Kristofer,M,9292
Gale,M,9265
Fidel,M,9254
Heriberto,M,9238
Cordell,M,9233
Odell,M,9212
Ward,M,9205
Antony,M,9198
Davin,M,9194
Jamari,M,9160
Maximiliano,M,9155
Phoenix,M,9139
Denzel,M,9121
Darien,M,9116
Jett,M,9099
Jerrod,M,9086
Wilfredo,M,9084
Gideon,M,9054
Bradly,M,9037
Ulises,M,9017
Cortez,M,9006
Muhammad,M,8997
Chaz,M,8992
Erin,M,8988
Hank,M,8968
Weldon,M,8939
Augustine,M,8933
Bernardo,M,8921
Gonzalo,M,8867
Nasir,M,8861
Brant,M,8853
Hollis,M,8837
Fletcher,M,8735
Jaylin,M,8716
Nestor,M,8707
Talon,M,8677
Jadon,M,8671
Yahir,M,8661
Delmar,M,8644
Rod,M,8611
Irwin,M,8610
Maverick,M,8599
Gregorio,M,8593
Jairo,M,8590
Forest,M,8589
Johnie,M,8571
Jaylon,M,8570
Ibrahim,M,8562
Izaiah,M,8562
Tristin,M,8557
Danial,M,8541
Sandy,M,8529
Tracey,M,8523
Jovan,M,8518
Carmine,M,8483
Unknown,M,8451
Judson,M,8442
Rodrick,M,8431
German,M,8415
Bo,M,8408
Rob,M,8396
Rico,M,8380
Cohen,M,8373
Keven,M,8369
Mekhi,M,8348
Johan,M,8337
Major,M,8309
Julien,M,8308
Alonso,M,8304
Raymundo,M,8304
Garth,M,8303
Dannie,M,8270
Luciano,M,8270
Maynard,M,8267
Dino,M,8247
Jacques,M,8243
Hassan,M,8196
Karson,M,8191
Hiram,M,8180
Brennen,M,8147
Rohan,M,8141
Stan,M,8130
Zayden,M,8101
Wilmer,M,8081
Errol,M,8068
Domenic,M,8047
Coby,M,8019
Jacoby,M,8014
Brycen,M,8006
Tyrese,M,7996
Barton,M,7985
Millard,M,7965
Jamaal,M,7961
Sage,M,7945
Brodie,M,7915
Jed,M,7910
Dashawn,M,7881
Monroe,M,7881
Darrick,M,7877
Jerrold,M,7874
Dario,M,7858
Josef,M,7858
Stephon,M,7832
Ollie,M,7831
Valentin,M,7827
Mervin,M,7793
Zechariah,M,7777
Estevan,M,7750
Nico,M,7731
Tylor,M,7728
Lyndon,M,7725
Lon,M,7722
Cliff,M,7696
Tod,M,7638
